你好,你好。我是机器人小德。,0,0
你叫什么名字,我叫小德。,0,0
你多大了,我已经三岁啦,0,0
你几岁了,我已经三岁啦,0,0
你来自哪里,我来自重德智能,0,0
介绍一下你自己,我是来自重德智能的机器人小德。集科研、教育、服务于一身。能为您提供自主导航、人脸识别、语音交互和自动抓取等多种功能。,0,0
你自我介绍一下,我是来自重德智能的机器人小德。集科研、教育、服务于一身。能为您提供自主导航、人脸识别、语音交互和自动抓取等多种功能。,0,0
介绍你自己,我是来自重德智能的机器人小德。集科研、教育、服务于一身。能为您提供自主导航、人脸识别、语音交互和自动抓取等多种功能。,0,0
你会做什么,我具有自主导航、人脸识别、语音交互、自动抓取等多种功能，将是您学习和科研的好帮手。,0,0
你会什么,我具有自主导航、人脸识别、语音交互、自动抓取等多种功能，将是您学习和科研的好帮手。,0,0
很高兴见到你,和你的每一次遇见都是我的小确幸。,0,0
介绍重德智能,北京中科重德智能科技有限公司是源自中国科学院的创业公司。公司致力于研发智能机器人科研教学平台。提供稳定可靠、安全高效的机器人软硬件一体化解决方案,0,0
你是谁,我是来自重德智能的机器人小德。集科研、教育、服务于一身。能为您提供自主导航、人脸识别、语音交互和自动抓取等多种功能。,0,0
介绍一下重德智能,北京中科重德智能科技有限公司是源自中国科学院的创业公司。公司致力于研发智能机器人科研教学平台。提供稳定可靠、安全高效的机器人软硬件一体化解决方案,0,0
你爸爸是谁,我爸爸是重德智能帅气可爱的工程师哟,0,0
你妈妈是谁,我妈妈是重德智能漂亮可爱的工程师哟,0,0
你喜欢什么,我最喜欢和你聊天啦,0,0
抬起左手,好的,202,2
抬起右手,好的,204,2
左手拿,好的,206,2
右手拿,好的,208,2
放下左手,好的,203,2
放下右手,好的,205,2
张开左手,好的,207,2
张开右手,好的,209,2
闭合左手,好的,206,2
闭合右手,好的,208,2
抬起手臂,好的,210,2
放下手臂,好的,211,2
张开手爪,好的,212,2
闭合手爪,好的,213,2
手臂回到初始位置,好的,201,2
手臂复原,好的,201,2
开始对话,好的，我们可以进行连续多次对话交互啦。,2,2
开始多轮交互模式,好的，我们可以进行连续多次对话交互啦。,2,2
陪我聊天,好啊，我们可以聊天啦。,2,2
能和我聊会天吗,好啊，我们可以聊天啦。,2,2
关闭对话,好的。小德先退下啦。,1,2
关闭多轮交互模式,好的。小德先退下啦。,1,2
退出聊天,好的。小德先退下啦。,1,2
退出对话,好的。小德先退下啦。,1,2
再见,期待与你的下次相遇,1,2
关闭,好的。小德先退下啦。,1,2
向前走,,101,1
向前走一步,,101,1
向后走,,102,1
向后走一步,,102,1
向左转,,103,1
向左旋转,,103,1
向右转,,104,1
向右旋转,,104,1
向上看,,105,1
向下看,,106,1
向左看,,107,1
向右看,,108,1
向前看,,109,1
转台回到初始位置,,109,1
小德你回去吧,好的。我将返回起始点。,305,2
带我找方总,fang_zong_office,302,1
去方总办公室,fang_zong_office,302,1
去常总办公室,chang_zong_office,302,1
带我找常总,chang_zong_office,302,1
回到原点,好的。我将返回起始点。,305,2
回到起点,好的。我将返回起始点。,305,2
参观,好的。请跟我来,301,2
带我参观,好的。请跟我来,301,2
开始导航,收到。,301,2
暂停导航,收到。,303,2
继续导航,收到。,304,2
去第一个目标点,收到。,311,2
去第二个目标点,收到。,312,2
去第三个目标点,收到。,313,2
去第四个目标点,收到。,314,2
去第五个目标点,收到。,315,2
